,avg_raid_point,avg_tackle_points,dod_raid_points,high_5s,matches_played,player_id,player_name,raid_points,successful_raids,successful_tackles,super_10s,super_raids,super_tackles,tackle_points,team_name,total_points
62,5.16,0.45,12,,31,118,Surjeet Narwal,160,133,12,7,4,2,14,Bengal Warriors,174
63,0.8,2.13,1,2,80,194,Joginder Singh Narwal,4,3,160,,,10,170,Dabang Delhi K.C.,174
64,4.46,0.22,33,,37,75,Nitin Madane,165,132,5,6,4,3,8,U Mumba,173
65,5.16,0.22,50,,32,2028,Abhishek Singh,165,141,7,9,3,,7,U Mumba,172
66,3.02,0.78,37,,45,772,More GB,136,108,32,2,1,3,35,Gujarat Fortunegiants,171
67,0.4,2.62,,7,63,733,Surinder Singh,4,1,160,,1,5,165,U Mumba,169
68,0.06,2.68,,12,62,769,Mahender Singh,1,1,153,,,13,166,Bengaluru Bulls,167
69,2.98,1,35,1,45,791,Nitin Rawal,122,91,39,2,6,6,45,Jaipur Pink Panthers,167
70,0.09,2.54,,7,63,489,Abozar Mohajermighani,2,,147,,,13,160,Telugu Titans,162
71,4.11,0.46,28,,35,2357,Naveen,144,114,14,2,5,2,16,Haryana Steelers,160
72,1.86,1.11,6,2,71,107,Shrikant Tewthia,78,66,70,1,2,9,79,Bengal Warriors,157
73,0.71,1.34,10,4,83,202,Ashish Kumar,46,37,98,,,13,111,Bengaluru Bulls,157
74,0,1.7,,8,92,240,Ravi Kumar,,,137,,,19,156,Haryana Steelers,156
75,2.83,0.11,63,,56,264,Selvamani K,150,109,6,2,7,,6,Haryana Steelers,156
76,0.47,1.96,2,7,69,73,Nilesh Shinde,18,11,121,,,14,135,Dabang Delhi K.C.,153
77,3.2,0.17,41,,47,300,Abolfazl Maghsodloumahali,144,117,7,,4,1,8,Gujarat Fortunegiants,152
78,2.96,0.19,41,,48,234,Surender Singh,136,97,9,2,4,,9,U.P. Yoddha,145
79,1.6,1.29,22,1,52,795,Monu,75,62,57,,2,10,67,Patna Pirates,142
80,2.6,0.08,43,,53,242,Tushar Patil,135,104,4,,5,,4,Patna Pirates,139
81,4.18,0,22,,33,190,Sonu Narwal,138,116,,1,3,,,Puneri Paltan,138
82,0.22,1.66,,7,82,96,Rohit Rana,2,1,131,,,5,136,U Mumba,138
83,1.2,1.28,7,1,58,482,Farhad Rahimi Milaghardan,53,42,70,,,4,74,Telugu Titans,127
84,2.29,1,13,1,38,141,Sunil Jaipal,87,63,29,,4,9,38,Bengaluru Bulls,125
85,,1.59,,5,75,165,Sachin Shingade,,,109,,,10,119,Haryana Steelers,119
86,0.71,1.51,3,3,69,249,Hadi Oshtorak,15,8,90,,,14,104,Patna Pirates,119
87,0.5,2.1,2,5,52,51,Jasmer Singh Gulia,7,7,102,,,7,109,Bengaluru Bulls,116
88,3.08,0.03,20,,38,376,Athul MS,114,88,1,,,,1,U Mumba,115
89,6.88,0.19,24,,16,2661,Pankaj Mohite,110,84,3,3,4,,3,Puneri Paltan,113
90,1.74,0.78,28,,46,567,Mohsen Maghsoudloujafari,75,55,32,1,2,4,36,U.P. Yoddha,111
91,0.2,1.23,,3,87,191,C. Arun,4,2,92,,,15,107,Telugu Titans,111
92,0.36,1.67,1,2,63,207,Sunil,4,2,98,,,7,105,Tamil Thalaivas,109
93,1.35,1,18,2,47,764,Vinod Kumar,62,41,38,,2,9,47,Gujarat Fortunegiants,109
94,6.69,0,11,,17,2508,V. Ajith Kumar,107,89,,4,1,,,Tamil Thalaivas,107
95,,1.75,,6,59,162,D. Suresh Kumar,,,91,,,12,103,U Mumba,103
96,1.95,0.4,30,,45,46,Gurvinder Singh,82,59,17,1,2,1,18,Gujarat Fortunegiants,100
97,3.75,1.25,7,1,20,484,Mohammad Esmaeil Nabibakhsh,75,60,23,1,3,2,25,Bengal Warriors,100
98,2.47,0.28,25,,39,324,Darshan Kadian,89,66,8,1,2,3,11,Puneri Paltan,100
99,0,1.66,,4,59,179,Vikas Kale,,,90,,,8,98,Haryana Steelers,98
100,2.45,0.08,39,,38,217,Rohit Kumar Choudary,93,64,3,1,6,,3,U.P. Yoddha,96
101,4.84,0.21,14,,19,2488,Vinay,92,66,4,2,6,,4,Haryana Steelers,96
102,0.17,1.96,1,4,48,796,Rinku Narwal,2,2,87,,,7,94,Bengal Warriors,96
103,,1.56,,2,61,164,Bajirao Hodage,,,90,,,5,95,Jaipur Pink Panthers,95
104,3,0.13,29,,31,2475,Ajinkya Ashok Pawar,90,73,3,,1,1,4,Jaipur Pink Panthers,94
105,,2.23,,5,39,2462,Sunil,,,86,,,1,87,Haryana Steelers,87
106,2.04,0.88,14,,34,67,Mahipal Narwal,57,40,28,1,3,2,30,Gujarat Fortunegiants,87
107,,1.41,,4,61,109,Somvir Shekhar,1,1,82,,,4,86,Jaipur Pink Panthers,87
108,0.25,2.26,,7,38,621,Baldev Singh,1,,78,,,8,86,Bengal Warriors,87
109,0.16,1.5,1,,54,311,Anil Kumar,3,2,76,,,5,81,Dabang Delhi K.C.,84
110,0.93,1.13,,2,52,70,Manoj Kumar,25,16,48,,2,11,59,Gujarat Fortunegiants,84
111,1.54,0.26,34,1,47,34,Bhupender Singh,71,48,11,,4,1,12,Bengal Warriors,83
112,4.21,,11,,19,2024,Arjun Deshwal,80,60,2,2,2,,2,U Mumba,82
113,,2.13,,5,38,794,Amit Sheoran,,,76,,,5,81,Bengaluru Bulls,81
114,0.84,1.15,4,3,46,218,Sachin Kumar,26,21,48,,,5,53,U.P. Yoddha,79
115,1.13,0.76,9,,46,121,Vikas Jaglan,43,28,35,,2,,35,Patna Pirates,78
116,0.09,1.17,,5,60,347,Sagar B Krishna,1,1,63,,,7,70,Puneri Paltan,71
117,2.15,0,17,,33,522,Dong Geon Lee,71,54,,1,1,,,U Mumba,71
118,1.38,3.69,,6,16,248,Sandeep Kandola,11,7,55,,,4,59,Telugu Titans,70
119,2.79,0.84,15,2,19,55,Jitesh Joshi,53,43,14,,,2,16,Puneri Paltan,69
120,1.11,0.59,7,,41,268,Vineet Sharma,41,34,22,,,2,24,Tamil Thalaivas,65
121,0.53,1.22,1,2,46,390,Jawahar Dagar,9,4,50,,,6,56,Patna Pirates,65
122,,1.78,,3,36,732,Kuldeep Singh,1,,59,,,5,64,Haryana Steelers,65
123,,1.78,,3,36,637,Neeraj Kumar,,,59,,,5,64,Patna Pirates,64
124,3.88,0.12,14,,17,79,Pravin Niwale,62,43,2,1,5,,2,Dabang Delhi K.C.,64
125,0.5,1.38,2,5,42,613,Sunil Siddhgavali,5,4,51,,,7,58,Jaipur Pink Panthers,63
126,1.74,0.28,13,,32,363,Sumit Singh,54,39,7,,,2,9,Bengaluru Bulls,63
127,0.5,3.39,,5,18,2330,Sumit,2,1,60,,,1,61,U.P. Yoddha,63
128,3.6,0.53,24,,15,2286,Surender Gill,54,41,7,,1,1,8,U.P. Yoddha,62
129,,1.63,,1,38,2023,Ruturaj Shivaji Koravi,,,59,,,3,62,Gujarat Fortunegiants,62
130,0.33,2.36,2,2,25,735,Vishal,3,2,47,,,12,59,Jaipur Pink Panthers,62
131,1.32,0.86,9,2,29,365,Akshay Jadhav,37,34,22,,1,3,25,Puneri Paltan,62
132,2,0.31,26,,29,387,Vinod Kumar,52,43,9,,,,9,Bengaluru Bulls,61
133,0.17,1.69,,2,35,28,Amit Singh Chhillar,1,1,55,,,4,59,Telugu Titans,60
134,0.09,1.37,,2,41,147,Prashant Chavan,1,1,50,,,6,56,Dabang Delhi K.C.,57
135,3.47,,9,,15,2485,Sonu Jaglan,52,42,3,1,3,1,4,Gujarat Fortunegiants,56
136,2.12,0.08,11,,26,204,Rakesh Narwal,53,37,2,,4,,2,Bengal Warriors,55
137,0.17,1.17,,,46,84,Rajaguru Subramanian,1,,51,,,3,54,U Mumba,55
138,3.71,0.14,11,,14,2290,Rajnish,52,39,2,2,1,,2,Telugu Titans,54
139,1,1.33,1,1,27,108,Shyam Kumar Sah,17,11,34,,1,2,36,Bengal Warriors,53
140,2.88,0.38,17,,16,231,Amit Om Prakash Rathi,46,33,4,,1,2,6,Gujarat Fortunegiants,52
141,0.78,1.14,4,,29,722,D. Pradap,18,11,31,,,2,33,Tamil Thalaivas,51
142,0.56,2.09,1,2,22,98,Sachin Khambe,5,5,40,,,6,46,Puneri Paltan,51
143,0.4,1.38,,1,34,152,D. Gopu,4,4,40,,,7,47,Tamil Thalaivas,51
144,0.07,1,,2,49,158,Rakesh Singh Kumar,1,1,46,,,3,49,Haryana Steelers,50
145,0.84,0.8,2,,35,150,Parmod Narwal,21,13,25,,1,3,28,Haryana Steelers,49
146,2.21,0.37,16,,19,370,Ravindra Ramesh Kumawat,42,34,7,,2,,7,Bengal Warriors,49
147,,1.78,,1,27,215,Vinod Kumar,,,48,,,,48,Puneri Paltan,48
148,,2.61,,5,18,2670,Saurabh Nandal,1,1,42,,,5,47,Bengaluru Bulls,48
149,,1.59,,1,29,724,Darshan J.,1,,45,,,1,46,Tamil Thalaivas,47
150,1.84,0,12,,26,576,Anand Patil,46,33,,,3,,,Jaipur Pink Panthers,46
151,2.14,0,6,,21,372,Harish Naik,45,34,,1,,,,Bengaluru Bulls,45
152,1.84,0.48,15,,21,245,Yogesh Hooda,35,29,10,,,,10,Dabang Delhi K.C.,45
153,0.44,0.52,,,58,167,Preetam Chhillar,15,9,30,,1,,30,Bengaluru Bulls,45
154,4,0.08,3,,12,115,Suraj Desai,44,35,1,1,1,,1,Telugu Titans,45
155,1.47,1.05,14,,19,2291,Amit Kumar,25,16,19,,1,1,20,Puneri Paltan,45
156,0.56,1.73,1,1,22,773,Satpal,5,,32,,,6,38,Dabang Delhi K.C.,43
157,1.2,1.09,5,,23,56,Kalimuthu Balamahendran,18,10,19,,2,6,25,Telugu Titans,43
158,,1.34,,,32,676,Santhapanaselvam,,,40,,,3,43,Jaipur Pink Panthers,43
159,,1.5,,2,28,778,Narender,,,37,,,5,42,U.P. Yoddha,42
160,,1.32,,2,31,361,Sombir,,,35,,,6,41,Dabang Delhi K.C.,41
161,0.73,0.61,6,,36,44,Gangadhari Mallesh,19,14,18,,,4,22,Jaipur Pink Panthers,41
162,,2,,3,20,61,Kuldeep Singh,,,37,,,3,40,Bengaluru Bulls,40
163,2,0.96,4,,26,232,Sachin Vittala,14,11,24,,1,1,25,Gujarat Fortunegiants,39
164,0,1.65,,1,23,665,Pankaj,,,38,,,,38,Gujarat Fortunegiants,38
165,1.94,0.41,7,,17,571,Mohammad Esmaeil Maghsoudlou Mahalli,31,25,5,,,2,7,Patna Pirates,38
166,,0.93,,,40,728,Manish,,,30,,,7,37,Patna Pirates,37
167,2.33,0.07,16,,15,718,R. Sriram,35,29,1,,,,1,Puneri Paltan,36
168,0.53,0.87,5,,30,578,Mayur Shivtarkar,9,6,26,,,,26,Bengal Warriors,35
169,1.55,0.19,15,,21,173,Suresu Kumar,31,26,4,,,,4,Dabang Delhi K.C.,35
170,2.14,0.36,9,,14,762,Vikas Kumar,30,26,4,,,1,5,Telugu Titans,35
