,avg_raid_point,avg_tackle_points,dod_raid_points,high_5s,matches_played,player_id,player_name,raid_points,successful_raids,successful_tackles,super_10s,super_raids,super_tackles,tackle_points,team_name,total_points
236,,1,,,14,2512,Ajeet,,,13,,,1,14,Tamil Thalaivas,14
237,1.11,0.33,1,,12,2274,C Manoj Kumar,10,7,4,,,,4,Telugu Titans,14
238,1.75,,6,,8,2325,Anand,14,10,,,1,,,Tamil Thalaivas,14
239,0.43,0.52,2,,21,768,Vijay Kumar,3,1,8,,,3,11,Bengaluru Bulls,14
240,2,,,,6,2257,Victor Onyango Obiero,12,8,1,,,1,2,Tamil Thalaivas,14
241,,1.17,,,12,169,Sagar Khatale,,,14,,,,14,Puneri Paltan,14
242,2.33,,1,,6,16,Waleed Al Hasani,14,10,,,1,,,Puneri Paltan,14
243,0.75,0.73,2,,15,13,Seong Ryeol Kim,3,2,10,,,1,11,Gujarat Fortunegiants,14
244,1.2,,9,,10,180,Kedar Lal,12,7,1,,1,,1,Bengal Warriors,13
245,,1.2,,1,10,181,Deepak Dhull,1,,11,,,1,12,Patna Pirates,13
246,,1.18,,,11,2659,Sagar,,,12,,,1,13,Tamil Thalaivas,13
247,,1.08,,,12,2667,Ankit,,,11,,,2,13,Gujarat Fortunegiants,13
248,1.33,,1,,9,2660,Sushant Sail,12,8,,,,,,Puneri Paltan,12
249,1,0.08,3,,12,2494,Sachin Narwal,11,7,1,,1,,1,Jaipur Pink Panthers,12
250,,0.8,,,15,2496,Pavan T. R.,,,10,,,2,12,Jaipur Pink Panthers,12
251,1.17,0.83,1,,6,786,Parvesh,7,5,4,,,1,5,Puneri Paltan,12
252,0.71,1,,,7,2306,Lalit Chaudhary,5,2,5,,,2,7,Gujarat Fortunegiants,12
253,,0.5,,,24,53,Jeeva Gopal,,,10,,,2,12,Haryana Steelers,12
254,0.43,1,,,9,101,Santhosh B.S,3,1,8,,1,1,9,U.P. Yoddha,12
255,,1.09,,,11,710,N. Renjith,,,10,,,2,12,U Mumba,12
256,2.33,0.83,2,,6,731,Sandeep,7,4,4,,,1,5,Puneri Paltan,12
257,,1.83,,,6,736,Yatharth Deshwal,,,10,,,1,11,Dabang Delhi K.C.,11
258,1.29,0.22,2,,9,10,Simon Kibura,9,8,2,,,,2,Bengal Warriors,11
259,,1.25,,,8,235,Vijender Singh,1,,9,,,1,10,Bengaluru Bulls,11
260,,0.55,,,20,222,G.S. Manikandan,,,10,,,1,11,Dabang Delhi K.C.,11
261,,1.57,,,7,2506,M. Abishek,,,11,,,,11,Tamil Thalaivas,11
262,1,,2,,10,32,Balbir Singh,10,7,,,,,,Jaipur Pink Panthers,10
263,,1.43,,,7,661,Tapas Pal,,,10,,,,10,Dabang Delhi K.C.,10
264,,0.83,,,12,384,Ravinder Kumar,,,9,,,1,10,Patna Pirates,10
265,0.75,,4,,12,605,Shubham Ashok Palkar,9,8,,,,,,Gujarat Fortunegiants,9
