,Date,Time,Status,Team 1,Team 2,Score,Result,Year
37,"Sunday, 28 October",21:00 (IST),Match 38 - Completed ,Patna,Haryana,32  - 43,Haryana Steelers beat Patna Pirates (43-32),2018
38,"Tuesday, 30 October",20:00 (IST),Match 39 - Completed ,Puneri,Gujarat,27  - 37,Gujarat Fortunegiants beat Puneri Paltan (37-27),2018
39,"Tuesday, 30 October",21:00 (IST),Match 40 - Completed ,Patna,Telugu,32  - 53,Telugu Titans beat Patna Pirates (53-32),2018
40,"Wednesday, 31 October",20:00 (IST),Match 41 - Completed ,Dabang,Puneri,27  - 31,Puneri Paltan beat Dabang Delhi K.C. (31-27),2018
41,"Wednesday, 31 October",21:00 (IST),Match 42 - Completed ,Patna,Bengaluru,41  - 43,Bengaluru Bulls beat Patna Pirates (43-41),2018
42,"Thursday, 01 November",20:00 (IST),Match 43 - Completed ,Patna,Bengal,29  - 27,Patna Pirates beat Bengal Warriors (29-27),2018
43,"Friday, 02 November",20:00 (IST),Match 44 - Completed ,U.P.,Tamil,24  - 46,Tamil Thalaivas beat U.P. Yoddha (46-24),2018
44,"Friday, 02 November",21:00 (IST),Match 45 - Completed ,Jaipur,Gujarat,25  - 36,Gujarat Fortunegiants beat Jaipur Pink Panthers (36-25),2018
45,"Saturday, 03 November",20:00 (IST),Match 46 - Completed ,U,Puneri,31  - 22,U Mumba beat Puneri Paltan (31-22),2018
46,"Saturday, 03 November",21:00 (IST),Match 47 - Completed ,U.P.,Bengaluru,29  - 35,Bengaluru Bulls beat U.P. Yoddha (35-29),2018
47,"Sunday, 04 November",20:00 (IST),Match 48 - Completed ,Dabang,Gujarat,38  - 45,Gujarat Fortunegiants beat Dabang Delhi K.C. (45-38),2018
48,"Sunday, 04 November",21:00 (IST),Match 49 - Completed ,U.P.,Bengal,30  - 30,Match Tied,2018
49,"Tuesday, 06 November",20:00 (IST),Match 50 - Completed ,Jaipur,Haryana,38  - 32,Jaipur Pink Panthers beat Haryana Steelers (38-32),2018
50,"Tuesday, 06 November",21:00 (IST),Match 51 - Completed ,U.P.,Telugu,26  - 26,Match Tied,2018
51,"Thursday, 08 November",20:00 (IST),Match 52 - Completed ,Haryana,Dabang,33  - 39,Dabang Delhi K.C. beat Haryana Steelers (39-33),2018
52,"Thursday, 08 November",21:00 (IST),Match 53 - Completed ,U.P.,Bengaluru,27  - 37,Bengaluru Bulls beat U.P. Yoddha (37-27),2018
53,"Friday, 09 November",20:00 (IST),Match 54 - Completed ,U,Jaipur,48  - 24,U Mumba beat Jaipur Pink Panthers (48-24),2018
54,"Friday, 09 November",21:00 (IST),Match 55 - Completed ,Bengal,Telugu,30  - 25,Bengal Warriors beat Telugu Titans (30-25),2018
55,"Saturday, 10 November",20:00 (IST),Match 56 - Completed ,Patna,Bengal,50  - 30,Patna Pirates beat Bengal Warriors (50-30),2018
56,"Saturday, 10 November",21:00 (IST),Match 57 - Completed ,U,Gujarat,36  - 38,Gujarat Fortunegiants beat U Mumba (38-36),2018
57,"Sunday, 11 November",20:00 (IST),Match 58 - Completed ,Jaipur,Dabang,29  - 40,Dabang Delhi K.C. beat Jaipur Pink Panthers (40-29),2018
58,"Sunday, 11 November",21:00 (IST),Match 59 - Completed ,U,Haryana,31  - 35,Haryana Steelers beat U Mumba (35-31),2018
59,"Tuesday, 13 November",20:00 (IST),Match 60 - Completed ,Puneri,Telugu,25  - 28,Telugu Titans beat Puneri Paltan (28-25),2018
60,"Tuesday, 13 November",21:00 (IST),Match 61 - Completed ,U,U.P.,41  - 24,U Mumba beat U.P. Yoddha (41-24),2018
61,"Wednesday, 14 November",20:00 (IST),Match 62 - Completed ,Tamil,Haryana,32  - 32,Match Tied,2018
62,"Wednesday, 14 November",21:00 (IST),Match 63 - Completed ,U,Bengaluru,32  - 29,U Mumba beat Bengaluru Bulls (32-29),2018
63,"Thursday, 15 November",20:00 (IST),Match 64 - Completed ,Patna,Dabang,38  - 35,Patna Pirates beat Dabang Delhi K.C. (38-35),2018
64,"Thursday, 15 November",21:00 (IST),Match 65 - Completed ,U,Tamil,36  - 22,U Mumba beat Tamil Thalaivas (36-22),2018
65,"Friday, 16 November",20:00 (IST),Match 66 - Completed ,Gujarat,Bengal,35  - 23,Gujarat Fortunegiants beat Bengal Warriors (35-23),2018
66,"Friday, 16 November",21:00 (IST),Match 67 - Completed ,Jaipur,U.P.,45  - 28,Jaipur Pink Panthers beat U.P. Yoddha (45-28),2018
67,"Saturday, 17 November",20:00 (IST),Match 68 - Completed ,Puneri,Bengal,22  - 26,Bengal Warriors beat Puneri Paltan (26-22),2018
68,"Saturday, 17 November",21:00 (IST),Match 69 - Completed ,Gujarat,Bengaluru,30  - 30,Match Tied,2018
69,"Sunday, 18 November",20:00 (IST),Match 70 - Completed ,Jaipur,Bengaluru,32  - 45,Bengaluru Bulls beat Jaipur Pink Panthers (45-32),2018
70,"Sunday, 18 November",21:00 (IST),Match 71 - Completed ,Gujarat,U.P.,37  - 32,Gujarat Fortunegiants beat U.P. Yoddha (37-32),2018
71,"Tuesday, 20 November",20:00 (IST),Match 72 - Completed ,Tamil,Telugu,27  - 23,Tamil Thalaivas beat Telugu Titans (27-23),2018
72,"Tuesday, 20 November",21:00 (IST),Match 73 - Completed ,Gujarat,Dabang,26  - 29,Dabang Delhi K.C. beat Gujarat Fortunegiants (29-26),2018
73,"Wednesday, 21 November",20:00 (IST),Match 74 - Completed ,Patna,Tamil,45  - 27,Patna Pirates beat Tamil Thalaivas (45-27),2018
74,"Wednesday, 21 November",21:00 (IST),Match 75 - Completed ,Gujarat,U,39  - 35,Gujarat Fortunegiants beat U Mumba (39-35),2018
75,"Thursday, 22 November",20:00 (IST),Match 76 - Completed ,Gujarat,Haryana,40  - 31,Gujarat Fortunegiants beat Haryana Steelers (40-31),2018
76,"Friday, 23 November",20:00 (IST),Match 77 - Completed ,Bengaluru,Bengal,31  - 33,Bengal Warriors beat Bengaluru Bulls (33-31),2018
77,"Friday, 23 November",21:00 (IST),Match 78 - Completed ,Jaipur,Puneri,30  - 30,Match Tied,2018
78,"Saturday, 24 November",20:00 (IST),Match 79 - Completed ,U,Dabang,39  - 23,U Mumba beat Dabang Delhi K.C. (39-23),2018
79,"Saturday, 24 November",21:00 (IST),Match 80 - Completed ,Bengaluru,Tamil,36  - 22,Bengaluru Bulls beat Tamil Thalaivas (36-22),2018
80,"Sunday, 25 November",20:00 (IST),Match 81 - Completed ,Dabang,Haryana,27  - 34,Haryana Steelers beat Dabang Delhi K.C. (34-27),2018
81,"Sunday, 25 November",21:00 (IST),Match 82 - Completed ,Bengaluru,Patna,32  - 35,Patna Pirates beat Bengaluru Bulls (35-32),2018
82,"Monday, 26 November",20:00 (IST),Match 83 - Completed ,Tamil,Telugu,31  - 25,Tamil Thalaivas beat Telugu Titans (31-25),2018
83,"Monday, 26 November",21:00 (IST),Match 84 - Completed ,Bengaluru,U.P.,37  - 27,Bengaluru Bulls beat U.P. Yoddha (37-27),2018
84,"Wednesday, 28 November",20:00 (IST),Match 85 - Completed ,Haryana,Puneri,33  - 35,Puneri Paltan beat Haryana Steelers (35-33),2018
85,"Wednesday, 28 November",21:00 (IST),Match 86 - Completed ,Bengaluru,Telugu,34  - 26,Bengaluru Bulls beat Telugu Titans (34-26),2018
86,"Thursday, 29 November",20:00 (IST),Match 87 - Completed ,Puneri,Gujarat,20  - 35,Gujarat Fortunegiants beat Puneri Paltan (35-20),2018
87,"Thursday, 29 November",21:00 (IST),Match 88 - Completed ,Bengaluru,Bengal,37  - 44,Bengal Warriors beat Bengaluru Bulls (44-37),2018
88,"Friday, 30 November",20:00 (IST),Match 89 - Completed ,Dabang,Jaipur,48  - 35,Dabang Delhi K.C. beat Jaipur Pink Panthers (48-35),2018
89,"Friday, 30 November",21:00 (IST),Match 90 - Completed ,Tamil,Patna,35  - 35,Match Tied,2018
90,"Saturday, 01 December",20:00 (IST),Match 91 - Completed ,Dabang,U,34  - 41,U Mumba beat Dabang Delhi K.C. (41-34),2018
91,"Sunday, 02 December",20:00 (IST),Match 92 - Completed ,U,Gujarat,36  - 26,U Mumba beat Gujarat Fortunegiants (36-26),2018
92,"Sunday, 02 December",21:00 (IST),Match 93 - Completed ,Dabang,Puneri,35  - 24,Dabang Delhi K.C. beat Puneri Paltan (35-24),2018
93,"Tuesday, 04 December",20:00 (IST),Match 94 - Completed ,Patna,Gujarat,27  - 45,Gujarat Fortunegiants beat Patna Pirates (45-27),2018
94,"Tuesday, 04 December",21:00 (IST),Match 95 - Completed ,Dabang,Telugu,34  - 29,Dabang Delhi K.C. beat Telugu Titans (34-29),2018
95,"Wednesday, 05 December",20:00 (IST),Match 96 - Completed ,Haryana,Bengal,35  - 33,Haryana Steelers beat Bengal Warriors (35-33),2018
96,"Wednesday, 05 December",21:00 (IST),Match 97 - Completed ,Dabang,Bengaluru,32  - 31,Dabang Delhi K.C. beat Bengaluru Bulls (32-31),2018
97,"Thursday, 06 December",20:00 (IST),Match 98 - Completed ,U.P.,Haryana,30  - 29,U.P. Yoddha beat Haryana Steelers (30-29),2018
98,"Thursday, 06 December",21:00 (IST),Match 99 - Completed ,Dabang,Tamil,37  - 33,Dabang Delhi K.C. beat Tamil Thalaivas (37-33),2018
99,"Friday, 07 December",20:00 (IST),Match 100 - Completed ,Telugu,Gujarat,27  - 29,Gujarat Fortunegiants beat Telugu Titans (29-27),2018
